BUS,name,vnom,pload,qload,bshunt,qshunt,;
BUS,1,20,600,148.2,0,0,;
BUS,2,20,330,71,0,0,;
BUS,3,20,260,83.8,0,0,;
BUS,4,20,840,252,0,0,;
BUS,5,20,720,190.4,0,0,;
BUS,11,20,200,68.8,0,0,;
BUS,12,20,300,83.8,0,0,;
BUS,13,20,100,34.4,0,0,;
BUS,22,20,280,79.9,0,0,;
BUS,31,20,100,24.7,0,0,;
BUS,32,20,200,39.6,0,0,;
BUS,41,20,540,131.4,0,0,;
BUS,42,20,400,127.4,0,0,;
BUS,43,20,900,254.6,0,0,;
BUS,46,20,700,211.8,0,0,;
BUS,47,20,100,44,0,0,;
BUS,51,20,800,258.2,0,0,;
BUS,61,20,500,122.5,0,0,;
BUS,62,20,300,83.8,0,0,;
BUS,63,20,590,264.6,0,0,;
BUS,71,20,300,83.8,0,0,;
BUS,72,20,2000,396.1,0,0,;
